route_id,service_id,trip_id,direction_id,shape_id,start_time,route_story
5,35385556,17722767_240516,1,62601,10:45:00,1
16386,35420364,19144082_240516,0,65310,19:20:00,2
16386,35420370,21145571_020616,0,65310,11:20:00,2
16393,35420275,20862808_240516,0,67215,11:45:00,7
16694,35417195,20304558_240516,0,66746,10:45:00,8
16386,35420367,19144069_270516,0,65310,12:50:00,2
16384,35420352,19137945_270516,0,65633,20:10:00,5
16385,35420344,20132305_260516,1,65304,09:30:00,4
16384,35420353,19138058_270516,0,65633,11:40:00,5
16387,35420363,20733107_270516,1,65311,12:30:00,3
16394,35420278,20863018_240516,1,67216,13:50:00,6
16387,35420362,20732966_270516,1,65311,07:05:00,3
16384,35420355,21142966_020616,0,65633,16:40:00,5
16386,35420358,19144071_030616,0,65310,13:50:00,2
16394,35420278,20863005_240516,1,67216,08:05:00,6
16386,35420370,21145568_020616,0,65310,07:50:00,2
16394,35420278,20863016_240516,1,67216,12:50:00,6
16387,35420362,20733043_270516,1,65311,13:05:00,3
16387,35420374,20733043_030616,1,65311,13:05:00,3
16384,35420351,20132296_260516,0,65633,14:10:00,5
16385,35420345,19138087_290516,1,65304,18:30:00,9
16393,35420276,20862998_240516,0,67215,23:45:00,7
16387,35420360,20732973_240516,1,65311,14:05:00,3
16386,35420365,20114776_250516,0,65310,15:20:00,2
16384,35420352,19137935_270516,0,65633,15:10:00,5
16385,35420346,19138201_290516,1,65304,10:30:00,9
16387,35420372,21138940_310516,1,65311,18:05:00,3
16387,35420373,21145608_020616,1,65311,09:05:00,3
5,35385556,17722763_240516,1,62601,07:40:00,1
16387,35420362,20732971_270516,1,65311,11:35:00,3
16386,35420370,21145577_020616,0,65310,16:50:00,2
16387,35420363,20733030_270516,1,65311,06:30:00,3
16386,35420358,19144076_030616,0,65310,16:20:00,2
16387,35420362,20733038_270516,1,65311,08:05:00,3
16386,35420370,21145583_020616,0,65310,09:50:00,2
16384,35420347,20113347_250516,0,65633,12:10:00,5
16386,35420364,19144061_240516,0,65310,08:50:00,2
16384,35420354,21133642_310516,0,65633,12:40:00,5
16384,35420356,19137931_030616,0,65633,13:10:00,5
16387,35420361,20114800_250516,1,65311,13:35:00,3
16694,35417194,20304471_240516,0,66746,09:00:00,8
16384,35420347,20113333_250516,0,65633,10:40:00,5
16394,35420278,20863034_240516,1,67216,20:20:00,6
16387,35420362,20733048_270516,1,65311,17:35:00,3
5,35385557,17722854_240516,1,62601,06:10:00,1
16393,35420275,20862817_240516,0,67215,15:50:00,7
16387,35420360,20733040_240516,1,65311,09:35:00,3
16386,35420364,19144069_240516,0,65310,12:50:00,2
16386,35420366,20134575_260516,0,65310,18:50:00,2
16386,35420367,19144067_270516,0,65310,11:50:00,2
16394,35420278,20863012_240516,1,67216,10:50:00,6
16386,35420369,21138875_310516,0,65310,12:50:00,2
16694,35417194,20304478_240516,0,66746,14:15:00,8
16393,35420276,20862994_240516,0,67215,20:45:00,7
16387,35420374,20732976_030616,1,65311,16:35:00,3
16385,35420348,20113366_250516,1,65304,16:00:00,4
16386,35420365,20114786_250516,0,65310,13:20:00,2
16387,35420372,21138918_310516,1,65311,07:05:00,3
16384,35420350,19137928_240516,0,65633,11:40:00,5
16387,35420361,20114798_250516,1,65311,12:05:00,3
16384,35420347,20113341_250516,0,65633,18:40:00,5
16694,35417194,20304475_240516,0,66746,12:00:00,8
16387,35420360,20733048_240516,1,65311,17:35:00,3
16386,35420370,21145585_020616,0,65310,12:20:00,2
16387,35420371,20134595_260516,1,65311,12:05:00,3
16387,35420362,20732967_270516,1,65311,07:35:00,3
16384,35420354,21133643_310516,0,65633,13:10:00,5
16386,35420368,19144190_270516,0,65310,08:40:00,2
16387,35420374,20732971_030616,1,65311,11:35:00,3
16384,35420354,21133651_310516,0,65633,17:10:00,5
16384,35420351,20132295_260516,0,65633,13:10:00,5
5,35385556,17722766_240516,1,62601,09:45:00,1
16384,35420354,21133649_310516,0,65633,16:10:00,5
16384,35420356,19137933_030616,0,65633,14:10:00,5
16387,35420372,21138928_310516,1,65311,12:05:00,3
16387,35420374,20732977_030616,1,65311,18:05:00,3
16386,35420370,21145591_020616,0,65310,18:50:00,2
16384,35420350,19137924_240516,0,65633,09:40:00,5
16387,35420361,20114804_250516,1,65311,17:35:00,3
16386,35420368,19144189_270516,0,65310,08:10:00,2
16387,35420374,20732965_030616,1,65311,06:05:00,3
16384,35420356,19137938_030616,0,65633,16:40:00,5
16386,35420364,19144073_240516,0,65310,14:50:00,2
16393,35420275,20862813_240516,0,67215,14:15:00,7
16384,35420352,19137922_270516,0,65633,08:40:00,5
16386,35420367,19144061_270516,0,65310,08:50:00,2
16384,35420356,19137943_030616,0,65633,19:10:00,5
16393,35420275,20862823_240516,0,67215,17:50:00,7
16384,35420352,19137926_270516,0,65633,10:40:00,5
16384,35420353,19138051_270516,0,65633,08:10:00,5
16393,35420275,20862832_240516,0,67215,21:45:00,7
16384,35420350,19137934_240516,0,65633,14:40:00,5
16394,35420279,20863201_240516,1,67216,22:15:00,6
16387,35420360,20732966_240516,1,65311,07:05:00,3
16386,35420358,19144066_030616,0,65310,11:20:00,2
16384,35420355,21142952_020616,0,65633,16:10:00,5
16384,35420355,21142951_020616,0,65633,15:10:00,5
16386,35420358,19144063_030616,0,65310,09:50:00,2
16384,35420355,21142955_020616,0,65633,19:10:00,5
16694,35417195,20304559_240516,0,66746,11:30:00,8
16387,35420361,20114803_250516,1,65311,16:35:00,3
16393,35420276,20862997_240516,0,67215,23:00:00,7
16387,35420361,20114815_250516,1,65311,15:35:00,3
16386,35420364,19144067_240516,0,65310,11:50:00,2
