route_story_id,service_id
1,35385556
1,35385557
2,35420358
2,35420359
2,35420364
2,35420365
2,35420366
2,35420367
2,35420368
2,35420369
2,35420370
3,35420360
3,35420361
3,35420362
3,35420363
3,35420371
3,35420372
3,35420373
3,35420374
3,35420375
4,35420344
4,35420348
4,35420349
4,35420343
5,35420352
5,35420353
5,35420354
5,35420355
5,35420356
5,35420357
5,35420347
5,35420350
5,35420351
6,35420278
6,35420279
7,35420275
7,35420276
8,35417194
8,35417195
9,35420345
9,35420346
10,35420376
11,35420377
