route_story_id,arrival_offset,departure_offset,stop_id,pickup_type,drop_off_type
1,0,0,15745,0,1
1,149,149,16424,0,1
1,255,255,16426,0,0
1,291,291,16427,0,0
1,375,375,15569,0,0
1,414,414,15781,0,0
1,456,456,23210,0,0
1,490,490,16428,0,0
1,548,548,16429,0,0
1,578,578,16430,0,0
1,619,619,15588,0,0
1,676,676,16077,0,0
1,717,717,16078,0,0
1,747,747,16431,0,0
1,783,783,16432,0,0
1,824,824,16433,0,0
1,851,851,16434,0,0
1,906,906,16435,0,0
1,938,938,16436,0,0
1,994,994,16157,0,0
1,1045,1045,16437,0,0
1,1107,1107,16438,0,0
1,1193,1193,16439,0,0
1,1269,1269,16440,0,0
1,1285,1285,16441,0,0
1,1357,1357,16442,0,0
1,1404,1404,16443,0,0
1,1459,1459,16444,0,0
1,1504,1504,16445,0,0
1,1567,1567,16446,0,0
1,1666,1666,38725,1,0
2,0,0,3974,0,1
2,60,60,2381,0,0
2,180,180,1267,0,0
2,190,190,3860,0,0
2,310,310,2855,0,0
2,370,370,3308,0,0
2,490,490,3032,0,0
2,503,503,2054,0,0
2,563,563,2055,0,0
2,623,623,1852,0,0
2,683,683,1856,0,0
2,743,743,1857,0,0
2,863,863,1860,0,0
2,876,876,1861,0,0
2,935,935,1868,0,0
2,1055,1055,2570,0,0
2,1235,1235,3437,0,0
2,1355,1355,17488,0,0
2,2495,2495,37570,0,0
2,2615,2615,3602,0,0
2,2675,2675,3603,0,0
2,2683,2683,2177,0,0
2,2803,2803,2191,0,0
2,2812,2812,2208,0,0
2,2872,2872,2189,0,0
2,2932,2932,2212,0,0
2,2992,2992,2213,0,0
2,3112,3112,2757,0,0
2,3232,3232,2758,0,0
2,3292,3292,2322,0,0
2,3303,3303,2480,0,0
2,3363,3363,2484,0,0
2,3423,3423,2482,0,0
2,3483,3483,2503,0,0
2,3543,3543,36130,0,0
2,3551,3551,2326,0,0
2,3611,3611,2488,0,0
2,3671,3671,2327,0,0
2,3731,3731,2330,0,0
2,3737,3737,35624,0,0
2,3796,3796,35622,0,0
2,3856,3856,2333,0,0
2,3866,3866,2489,0,0
2,3926,3926,3324,0,0
2,3986,3986,35801,0,0
2,4046,4046,35774,0,0
2,4166,4166,35771,0,0
2,4286,4286,35501,1,0
3,0,0,17431,0,1
3,60,60,35772,0,0
3,120,120,35773,0,0
3,180,180,35802,0,0
3,300,300,3016,0,0
3,360,360,3158,0,0
3,367,367,35623,0,0
3,427,427,2331,0,0
3,487,487,2328,0,0
3,547,547,2329,0,0
3,607,607,2504,0,0
3,667,667,16988,0,0
3,727,727,2481,0,0
3,787,787,2483,0,0
3,847,847,2323,0,0
3,907,907,2320,0,0
3,967,967,35674,0,0
3,975,975,3787,0,0
3,1095,1095,2202,0,0
3,1155,1155,2203,0,0
3,1215,1215,2211,0,0
3,1275,1275,2188,0,0
3,1284,1284,2209,0,0
3,1344,1344,2190,0,0
3,1464,1464,2589,0,0
3,1474,1474,2176,0,0
3,1594,1594,3601,0,0
3,1654,1654,39927,0,0
3,2794,2794,3437,0,0
3,2914,2914,17488,0,0
3,3034,3034,2836,0,0
3,3154,3154,3077,0,0
3,3274,3274,1877,0,0
3,3394,3394,3290,0,0
3,3454,3454,2920,0,0
3,3514,3514,1858,0,0
3,3574,3574,1854,0,0
3,3583,3583,1855,0,0
3,3643,3643,1853,0,0
3,3703,3703,2056,0,0
3,3763,3763,3074,0,0
3,3823,3823,2057,0,0
3,3883,3883,2071,0,0
3,4003,4003,2072,0,0
3,4063,4063,3512,0,0
3,4123,4123,3858,0,0
3,4183,4183,3859,0,0
3,4243,4243,3975,1,0
4,0,0,3517,0,1
4,17,17,3709,0,0
4,77,77,35658,0,0
4,89,89,3518,0,0
4,149,149,3499,0,0
4,158,158,3513,0,0
4,218,218,3302,0,0
4,223,223,3708,0,0
4,230,230,3303,0,0
4,290,290,3304,0,0
4,300,300,3305,0,0
4,360,360,3306,0,0
4,420,420,17468,0,0
4,428,428,35649,0,0
4,488,488,2262,0,0
4,508,508,17476,0,0
4,628,628,3706,0,0
4,636,636,2250,0,0
4,696,696,2880,0,0
4,756,756,2472,0,0
4,764,764,2240,0,0
4,772,772,2238,0,0
4,832,832,2236,0,0
4,847,847,2232,0,0
4,907,907,2230,0,0
4,919,919,3719,0,0
4,925,925,2470,0,0
4,985,985,3582,0,0
4,1045,1045,3920,0,0
4,1061,1061,1435,0,0
4,1121,1121,1436,0,0
4,1132,1132,1437,0,0
4,1192,1192,3910,0,0
4,1252,1252,3908,0,0
4,1912,1912,3956,0,0
4,2092,2092,17052,0,0
4,2212,2212,1314,0,0
4,2230,2230,3934,0,0
4,2290,2290,3900,0,0
4,2350,2350,3875,0,0
4,2358,2358,3849,0,0
4,2418,2418,3933,0,0
4,2478,2478,3930,0,0
4,2495,2495,1321,0,0
4,2556,2556,2354,0,0
4,2616,2616,2395,0,0
4,2629,2629,2402,0,0
4,2749,2749,3870,1,0
5,0,0,36371,0,1
5,60,60,3937,0,0
5,120,120,3936,0,0
5,180,180,3905,0,0
5,240,240,3929,0,0
5,251,251,3926,0,0
5,311,311,3904,0,0
5,371,371,3867,0,0
5,388,388,3901,0,0
5,448,448,3898,0,0
5,508,508,1330,0,0
5,568,568,16965,0,0
5,748,748,2392,0,0
5,1408,1408,1448,0,0
5,1468,1468,3909,0,0
5,1528,1528,3913,0,0
5,1540,1540,3912,0,0
5,1550,1550,3914,0,0
5,1610,1610,3921,0,0
5,1670,1670,3280,0,0
5,1730,1730,2468,0,0
5,1746,1746,2469,0,0
5,1806,1806,2231,0,0
5,1816,1816,2233,0,0
5,1876,1876,2239,0,0
5,1888,1888,2471,0,0
5,1948,1948,2879,0,0
5,2008,2008,2248,0,0
5,2068,2068,17452,0,0
5,2128,2128,3186,0,0
5,2135,2135,2841,0,0
5,2195,2195,2473,0,0
5,2203,2203,2474,0,0
5,2263,2263,3927,0,0
5,2276,2276,3297,0,0
5,2336,2336,3707,0,0
5,2345,2345,3298,0,0
5,2405,2405,3299,0,0
5,2414,2414,3300,0,0
5,2474,2474,3301,0,0
5,2534,2534,3500,0,0
5,2544,2544,3514,0,0
5,2604,2604,3515,0,0
5,2664,2664,3516,1,0
6,0,0,16524,0,1
6,46,46,16594,0,0
6,93,93,16592,0,0
6,131,131,16540,0,0
6,174,174,16535,0,0
6,246,246,16545,0,0
6,368,368,16587,0,0
6,403,403,16589,0,0
6,437,437,16570,0,0
6,453,453,16571,0,0
6,484,484,23338,0,0
6,502,502,23342,0,0
6,533,533,23339,0,0
6,567,567,16638,0,0
6,595,595,16636,0,0
6,641,641,16633,0,0
6,663,663,16639,0,0
6,684,684,16572,0,0
6,782,782,16509,0,0
6,804,804,16511,0,0
6,831,831,16513,0,0
6,863,863,24377,0,0
6,884,884,23291,0,0
6,932,932,733,0,0
6,989,989,16519,0,0
6,1008,1008,16495,0,0
6,1078,1078,16599,0,0
6,1124,1124,39176,0,0
6,1184,1184,39177,0,0
6,1225,1225,39179,0,0
6,1382,1382,39180,0,0
6,1502,1502,39175,0,0
6,1589,1589,39173,0,0
6,1744,1744,39171,0,0
6,1821,1821,39170,1,0
7,0,0,39170,0,1
7,152,152,39172,0,0
7,251,251,39174,0,0
7,377,377,39177,0,0
7,576,576,39180,0,0
7,610,610,39178,0,0
7,695,695,39175,0,0
7,774,774,16606,0,0
7,837,837,16496,0,0
7,923,923,24709,0,0
7,975,975,16514,0,0
7,994,994,16512,0,0
7,1018,1018,16515,0,0
7,1045,1045,16510,0,0
7,1088,1088,23293,0,0
7,1176,1176,16564,0,0
7,1196,1196,16634,0,0
7,1228,1228,16632,0,0
7,1269,1269,16635,0,0
7,1309,1309,16637,0,0
7,1336,1336,16630,0,0
7,1356,1356,16631,0,0
7,1383,1383,23340,0,0
7,1406,1406,16574,0,0
7,1433,1433,16563,0,0
7,1446,1446,16591,0,0
7,1475,1475,16590,0,0
7,1507,1507,16588,0,0
7,1541,1541,16551,0,0
7,1613,1613,16536,0,0
7,1651,1651,16539,0,0
7,1683,1683,16537,0,0
7,1727,1727,16593,0,0
7,1765,1765,16595,0,0
7,1787,1787,23488,0,0
7,1809,1809,16525,1,0
8,0,0,11973,0,1
8,125,125,27663,0,0
8,314,314,26955,0,0
8,393,393,26952,0,0
8,452,452,27254,0,0
8,471,471,27260,0,0
8,501,501,27580,0,0
8,545,545,27266,0,0
8,587,587,27262,0,0
8,612,612,27258,0,0
8,637,637,27249,0,0
8,672,672,27583,0,0
8,715,715,27575,0,0
8,759,759,27572,0,0
8,796,796,27252,0,0
8,833,833,26946,0,0
8,877,877,26945,0,0
8,939,939,26943,0,0
8,1029,1029,39647,0,0
8,1071,1071,39648,0,0
8,1189,1189,39649,0,0
8,1265,1265,27244,0,0
8,1314,1314,39553,0,0
8,1371,1371,39552,0,0
8,1455,1455,39569,1,0
9,0,0,3517,0,1
9,60,60,3709,0,0
9,70,70,35658,0,0
9,130,130,3518,0,0
9,190,190,3499,0,0
9,199,199,3513,0,0
9,259,259,3302,0,0
9,319,319,3708,0,0
9,325,325,3303,0,0
9,386,386,3304,0,0
9,396,396,3305,0,0
9,456,456,3306,0,0
9,576,576,17468,0,0
9,582,582,35649,0,0
9,642,642,2262,0,0
9,702,702,17476,0,0
9,822,822,3706,0,0
9,830,830,2250,0,0
9,890,890,2880,0,0
9,950,950,2472,0,0
9,1010,1010,2240,0,0
9,1018,1018,2238,0,0
9,1078,1078,2236,0,0
9,1138,1138,2232,0,0
9,1147,1147,2230,0,0
9,1207,1207,3719,0,0
9,1213,1213,2470,0,0
9,1273,1273,3582,0,0
9,1333,1333,3920,0,0
9,1393,1393,1435,0,0
9,1453,1453,1436,0,0
9,1513,1513,1437,0,0
9,1523,1523,3910,0,0
9,1583,1583,3908,0,0
9,1763,1763,3830,0,0
9,2603,2603,3956,0,0
9,2843,2843,17052,0,0
9,2963,2963,1314,0,0
9,3023,3023,3934,0,0
9,3083,3083,3900,0,0
9,3143,3143,3875,0,0
9,3203,3203,3849,0,0
9,3263,3263,3933,0,0
9,3323,3323,3930,0,0
9,3383,3383,1321,0,0
9,3443,3443,2354,0,0
9,3503,3503,2395,0,0
9,3563,3563,2402,0,0
9,3683,3683,3870,1,0
10,0,0,25704,0,1
10,117,117,25949,0,0
10,197,197,25950,0,0
10,254,254,25951,0,0
10,315,315,25952,0,0
10,370,370,25953,0,0
10,670,670,25956,0,0
10,934,934,25946,0,0
10,976,976,25947,0,0
10,1007,1007,25948,0,0
10,1282,1282,28637,0,0
10,1432,1432,25575,1,0
10,1668,1668,25931,1,0
10,1804,1804,25932,1,0
10,1843,1843,26304,1,0
10,1914,1914,25934,1,0
10,1954,1954,25935,1,0
10,2002,2002,25936,1,0
10,2074,2074,25937,1,0
10,2149,2149,25990,1,0
10,2232,2232,25930,1,0
10,2417,2417,37420,1,0
11,0,0,38961,0,1
11,280,280,25553,0,1
11,357,357,25554,0,1
11,442,442,25555,0,1
11,519,519,25556,0,1
11,600,600,25557,0,1
11,638,638,25558,0,1
11,680,680,25559,0,1
11,794,794,25560,0,1
11,889,889,28637,0,1
11,1039,1039,25575,0,1
11,1223,1223,25561,0,1
11,1333,1333,25688,0,0
11,1357,1357,25689,0,0
11,1418,1418,25715,0,0
11,1627,1627,25741,0,0
11,1675,1675,25743,0,0
11,1693,1693,25744,0,0
11,2028,2028,28617,0,0
11,2061,2061,25753,0,0
11,2144,2144,25754,0,0
11,2231,2231,25755,0,0
11,2321,2321,25704,1,0
